0,525,9122.96
0,784,9224.51
0,1222,9657.76
0,1256,9700.51
0,1318,9746.45
0,1388,9784.44
1,38,8264.48
1,189,8416.72
1,415,8539.69
1,460,8554.90
1,525,8573.11
1,662,8605.81
1,717,8620.5
1,806,8667.92
1,1222,8758.16
1,1256,8761.64
1,1318,8766.68
1,1388,8775.55
2,415,7937.83
2,461,7941.83
2,525,7948.29
2,659,7972.66
2,717,8006.19
2,807,8014.84
2,1006,8053.34
2,1221,8103.67
2,1551,8085.30
2,1317,8115.31
2,1878,8186.91
3,414,7768.11
3,928,7789.03
3,1007,7798.49
3,1168,7817.85
3,1422,7847.68
3,1811,7886.41
3,1878,7891.19
4,717,7504.00
4,807,7514.79
4,1260,7567.77
4,1421,7585.74
4,1832,7635.22
4,1879,7647.44
5,128,7191.26
5,263,7206.98
5,271,7207.97
5,813,7272.86
5,1716,7372.16
5,1832,7383.87
6,128,6965.45
6,329,6989.71
6,423,7000.83
6,575,7018.53
6,677,7030.25
6,814,7045.80
6,1007,7067.17
6,1162,7084.19
6,1546,7107.46
6,1777,7147.09
6,1992,7168.86
7,115,6752.66
7,146,6756.44
7,334,6778.36
7,351,6780.25
7,745,6824.67
7,785,6829.01
7,839,6834.87
7,1180,6871.21
7,1573,6911.18
7,1844,6937.58
7,1907,6943.62
8,319,6577.28
8,379,6583.89
8,420,6588.62
8,447,6591.45
8,469,6593.91
8,932,6643.61
8,1112,6662.32
8,1260,6677.25
8,1779,6727.34
9,17,6355.79
9,161,6371.99
9,206,6376.98
9,277,6348.70
9,478,6406.50
9,529,6411.80
9,571,6416.34
9,967,6457.22
9,1020,6462.52
9,1305,6490.71
9,1532,6512.29
9,1737,6531.40
9,1991,6554.11
10,48,6182.64
10,99,6188.13
10,134,6191.72
10,192,6198.16
10,242,6203.46
10,276,6207.05
10,440,6224.46
10,801,6261.36
10,928,6274.04
10,1104,6291.15
10,1125,6293.27
10,1163,6296.9
10,1205,6300.84
10,1230,6303.26
10,1276,6307.65
10,1309,6310.83
10,1487,6327.18
10,1658,6342.77
10,1724,6348.67
10,1804,6355.79
10,1990,6371.99
10,2048,6376.98
11,101,6021.03
11,207,6032.01
11,260,6037.69
11,313,6043.17
11,370,6048.85
11,759,6088.02
11,909,6102.40
11,1038,6114.89
11,1439,6151.98
11,1579,6164.47
11,1640,6169.77
11,1668,6172.23
11,1788,6182.64
11,1852,6188.13
11,1897,6191.72
11,1972,6198.16
11,2035,6203.46
12,329,5885.73
12,386,5891.41
12,529,5905.60
12,564,5908.82
12,596,5912.03
12,623,5914.68
12,875,5938.72
12,1255,5973.53
12,1428,5989.05
12,1450,5990.94
12,1486,5994.16
12,1636,6007.03
12,1672,6010.06
12,1801,6021.03
12,1936,6032.01
12,2004,6037.09
13,50,5707.11
13,181,5720.14
13,234,5725.45
13,474,5748.75
13,518,5753.02
13,597,5760.52
13,629,5763.52
13,910,5789.59
13,1033,5800.89
13,1070,5804.24
14,120,5571.22
14,142,5573.41
14,204,5579.30
14,284,5587.03
14,368,5594.99
14,438,5601.56
14,492,5606.75
14,529,5610.10
14,585,5615.29
14,853,5639.63
14,919,5645.63
14,976,5650.82
14,1058,5657.97
14,1142,5665.12
14,1280,5677.00
14,1376,5685.19
14,1566,5700.88
14,1642,5707.11
14,1805,5720.14
14,1871,5725.45
15,745,5492.62
15,784,5495.89
15,820,5499.25
15,878,5504.31
15,943,5509.90
15,1000,5514.81
15,1289,5539.17
15,1333,5542.89
15,1397,5548.10
15,1523,5558.42
15,1684,5571.22
15,1712,5573.41
15,1789,5579.50
15,1888,5587.03
